Año|Mes|CCAA|Producto||Volumen (miles de kg)|Valor (miles de €)|Precio medio kg|Penetración (%)|Consumo per capita|Gasto per capita||
2013 | Enero|Total nacional|GUISANTES|852,95|1.946,26|2,28|6,65|0,02|0,04||
2013 | Enero|Total nacional|JUDIAS VERDES|1.366,33|1.988,63|1,46|6,15|0,03|0,04||
2013 | Enero|Total nacional|PIMIENTOS|1.253,53|4.902,83|3,91|13,77|0,03|0,11||
2013 | Enero|Total nacional|ESPARRAGOS|1.718,34|8.831,34|5,14|15,52|0,04|0,19||
2013 | Enero|Total nacional|ALCACHOFAS|571,68|2.693,28|4,71|4,97|0,01|0,06||
2013 | Enero|Total nacional|CHAMPIÑOSNES+SETAS|1.766,86|5.031,65|2,85|13,1|0,04|0,11||
2013 | Enero|Total nacional|MAIZ DULCE|1.436,48|4.320,72|3,01|12,06|0,03|0,1||
2013 | Enero|Total nacional|MENESTRA|267,27|529,02|1,98|1,69|0,01|0,01||
2013 | Enero|Total nacional|TOMATES|21.625,68|28.333,26|1,31|60,74|0,48|0,63||
2013 | Enero|Total nacional|TOMATE FRITO|15.414,67|21.218,10|1,38|51,39|0,34|0,47||
2013 | Enero|Total nacional|TOMATE NATURAL|6.211,01|7.115,15|1,15|22,67|0,14|0,16||
2013 | Enero|Total nacional|TOMATE N.ENTERO|920,46|1.087,47|1,18|3,56|0,02|0,02||
2013 | Enero|Total nacional|TOMATE N.TRITUR.|5.290,55|6.027,69|1,14|20,29|0,12|0,13||
2013 | Enero|Total nacional|OTRA VERD/HORT.CON|1.933,57|4.701,72|2,43|12,58|0,04|0,1||
2013 | Enero|Total nacional|FRUTA EN CONSERVA|7.218,12|20.768,02|2,88|37,11|0,16|0,46||
2013 | Enero|Total nacional|MERMELADAS,CONFIT.|2.720,39|9.563,77|3,52|22,59|0,06|0,21||
2013 | Enero|Total nacional|FRUTA CONS/ALMIBAR|3.776,76|8.089,16|2,14|16,2|0,08|0,18||
2013 | Enero|Total nacional|FRUTA ESCARCHADA|117,73|937,56|7,96|1,01|0|0,02||
2013 | Enero|Total nacional|RESTO FRUTA CONSER|603,24|2.177,53|3,61|5,43|0,01|0,05||
2013 | Enero|Total nacional|VERD./HORT.CONGELAD|13.765,56|25.313,42|1,84|42,38|0,3|0,56||
2013 | Enero|Total nacional|ESPINACAS|1.414,59|2.398,80|1,7|9,26|0,03|0,05||
2013 | Enero|Total nacional|GUISANTES|2.552,43|4.023,36|1,58|13,94|0,06|0,09||
2013 | Enero|Total nacional|JUDIA VERDE|3.718,78|4.939,35|1,33|14,76|0,08|0,11||
2013 | Enero|Total nacional|COLIFLOR|358,09|590,75|1,65|1,97|0,01|0,01||
2013 | Enero|Total nacional|PIMIENTOS|121,98|270,46|2,22|1,19|0|0,01||
2013 | Enero|Total nacional|BROCOLI|431,64|712,06|1,65|2,29|0,01|0,02||
